"","url","name","city","checkInDate","checkOutDate"
"1",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"2",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"3",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"4",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"5",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"6",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"7",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"8",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"9",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"10",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"11",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"12",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"13",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"14",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"15",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"16",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"17",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"18",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"19",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"20",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"21",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"22",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"23",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"24",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"25",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"26",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"27",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"28",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"29",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"30",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"31",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"32",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"33",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"34",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"35",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"36",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"37",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"38",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"39",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"40",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"41",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"42",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"43",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"44",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
