"","url","city","checkInDate","checkOutDate"
"1","/rooms/16525537?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"2","/rooms/14798336?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"3","/rooms/5615753?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"4","/rooms/17514930?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"5","/rooms/9286443?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"6","/rooms/7375177?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"7","/rooms/11915798?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"8","/rooms/11482398?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"9","/rooms/13149883?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"10","/rooms/18143378?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"11","/rooms/10502616?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"12","/rooms/3536354?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"13","/rooms/13150055?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"14","/rooms/9864861?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"15","/rooms/16799063?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"16","/rooms/15066116?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"17","/rooms/2302198?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"18","/rooms/17288490?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"19","/rooms/12333074?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"20","/rooms/13830298?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"21","/rooms/11721276?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"22","/rooms/12979432?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"23","/rooms/17770539?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"24","/rooms/15290947?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"25","/rooms/9886548?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"26","/rooms/14760223?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"27","/rooms/17736487?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"28","/rooms/16756644?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"29","/rooms/8106943?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"30","/rooms/8768895?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"31","/rooms/8035864?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
"32","/rooms/18051841?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hong-Kong","2017-05-01","2017-05-02"
