"","url","name","city","checkInDate","checkOutDate","price","totalPrice","numOfReviews","ratingAverage","ratingAccuracy","ratingCommunication","ratingCleanliness","ratingLocation","ratingCheckIn","ratingValue","capacityRoomType","capacityNumGuests","capacityNumBedrooms","capacityNumBeds","amenitiesParking","amenitiesPets","amenitiesFireplace","amenitiesSmoking","amenitiesPool","amenitiesHangers","amenitiesBreakfast","amenitiesInternet","amenitiesElevator","amenitiesKitchen","amenitiesFamily","amenitiesAccessible","amenitiesWifi","amenitiesEvents","amenitiesDryer","amenitiesDesktop","amenitiesHottub","amenitiesHeating","amenitiesLaptop","amenitiesDoorman","amenitiesGym","amenitiesIron","amenitiesHairdryer","amenitiesWasher","amenitiesEssentials","amenitiesShampoo","amenitiesTv","amenitiesAc"
"1","/rooms/13501961?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","向海套房_觀星","Hong-Kong","2017-05-01","2017-05-02","1050","1182","56","4.5","4.5","5","4.5","4.5","5","4.5","Entire home/apt","2 Guests","Studio","1 Bed",0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
"2","/rooms/9760574?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","cozy studio for 2 in mong kok c","Hong-Kong","2017-05-01","2017-05-02","303","381","34","4.5","4.5","4.5","4.5","5","4.5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
"3","/rooms/7964582?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Fortune Inn Double bed Room 19 <U+6E29>馨大床房","Hong-Kong","2017-05-01","2017-05-02","436","490","74","4","4","4.5","4.5","5","4.5","4","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
"4","/rooms/6146824?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Double Room With Private Bathroom","Hong-Kong","2017-05-01","2017-05-02","996","1120","41","4","4","4","4.5","4.5","4","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"5","/rooms/15124880?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Room at Mid levels - mins to SOHO","Hong-Kong","2017-05-01","2017-05-02","350","622","18","4.5","4.5","4.5","5","4.5","5","4.5","Private room","1 Guest","1 Bedroom","1 Bed",0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
"6","/rooms/4982901?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","4BR , Big Group@ Wanchai MTR","Hong-Kong","2017-05-01","2017-05-02","778","1213","64","4.5","4.5","4.5","4.5","4.5","4.5","4.5","Entire home/apt","12 Guests","4 Bedrooms","5 Beds",0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1
"7","/rooms/17971825?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","5A Luxury 1 Bedroom apartment in Wanchai 豪華一房公寓","Hong-Kong","2017-05-01","2017-05-02","903","1128",NA,NA,NA,NA,NA,NA,NA,NA,"Entire home/apt","3 Guests","1 Bedroom","2 Beds",0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1
"8","/rooms/6349168?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Comfy Twin bed room- 2 Min to MTR","Hong-Kong","2017-05-01","2017-05-02","529","591","23","4.5","4.5","4.5","4.5","4.5","4.5","4.5","Private room","2 Guests","1 Bedroom","2 Beds",0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
"9","/rooms/6267528?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Temple Street Double Private","Hong-Kong","2017-05-01","2017-05-02","358","444","58","4","4.5","4.5","4.5","4.5","4.5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1
"10","/rooms/7737594?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","A-尖沙咀繁<U+534E>地段<U+53CC>床房(距离地<U+94C1>2分<U+949F>)","Hong-Kong","2017-05-01","2017-05-02","568","638","25","4","4.5","4.5","4.5","5","4.5","4.5","Private room","2 Guests","1 Bedroom","2 Beds",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
