"","url","name","city","checkInDate","checkOutDate","price_2017.04.15","totalPrice_2017.04.15","price_2017-04-16","totalPrice_2017-04-16"
"1","/rooms/16525537?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","small cosy room with a nice view.","Hong-Kong","5/1/17","5/2/17",358,405,"358",NA
"2","/rooms/10950729?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Mixed Dorm Room (男女混合宿舍) (3)","Hong-Kong","5/1/17","5/2/17",225,256,"225","256"
"3","/rooms/8768929?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Premier Room #2 TST Nathan Rd","Hong-Kong","5/1/17","5/2/17",723,809,"723","809"
"4","/rooms/6146824?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Double Room With Private Bathroom","Hong-Kong","5/1/17","5/2/17",1003,1127,"1003","1127"
"5","/rooms/3826571?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Warm place~ 5mins to MTR near MK","Hong-Kong","5/1/17","5/2/17",599,1011,"599","1011"
"6","/rooms/6257723?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hostels,for 4@MTR for 3 mins","Hong-Kong","5/1/17","5/2/17",785,1050,"785","1050"
"7","/rooms/6518197?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Cosmic Guest House-Deluxe 2 Dbl Bed (Windows)","Hong-Kong","5/1/17","5/2/17",707,NA,"707",NA
"8","/rooms/17546397?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","NEW: Flat in the center of the center - WAN CHAI","Hong-Kong","5/1/17","5/2/17",1796,2356,NA,"2356"
"9","/rooms/17514930?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Harbourview Room on Kowloon Station","Hong-Kong","5/1/17","5/2/17",801,949,"801","949"
"10","/rooms/7598871?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Full Apartment in the heart of CWB!","Hong-Kong","5/1/17","5/2/17",653,933,NA,NA
"11","/rooms/15425248?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Comfortable Budget Stay in Mid-Levels, Hong Kong","Hong-Kong","5/1/17","5/2/17",187,257,"187","257"
"12","/rooms/14263840?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Theatre Renovated Balcony 3mins MTR Wan Chai HKCEC","Hong-Kong","5/1/17","5/2/17",762,1197,"762","1197"
"13","/rooms/8035901?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Room for 4, huge window in city#8","Hong-Kong","5/1/17","5/2/17",482,544,"482","544"
"14","/rooms/2796097?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Y1. Mongkok Area,near Metro,Langham","Hong-Kong","5/1/17","5/2/17",801,902,"801","902"
"15","/rooms/6742072?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Yau Ma Tei 4 beds family private","Hong-Kong","5/1/17","5/2/17",451,645,"451","645"
"16","/rooms/11630153?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Heart of Hong Kong 2-Bdr LARGE Belcony MRT 3A","Hong-Kong","5/1/17","5/2/17",1003,1477,"925","1384"
"17","/rooms/10133495?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","一大一小床三人房","Hong-Kong","5/1/17","5/2/17",521,638,"521","638"
"18","/rooms/16145200?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Causeway Bay TimesSquare Artistic 铜锣湾时代广场卧房 Pony","Hong-Kong","5/1/17","5/2/17",451,560,"451","560"
"19","/rooms/18028135?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","[J-D] Private room, double bed, 1-2pls, homy","Hong-Kong","5/1/17","5/2/17",350,505,NA,NA
"20","/rooms/15698386?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","SLEEEP - Minimalist Capsule Hotel in Sheung Wan","Hong-Kong","5/1/17","5/2/17",599,669,"599","669"
"21","/rooms/16548315?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Stylish and Bright Sea view Apt--3 mins to MTR","Hong-Kong","5/1/17","5/2/17",948,1406,"948","1406"
"22","/rooms/3853127?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Room in a modern apt, in cool spot","Hong-Kong","5/1/17","5/2/17",599,669,"599","669"
"23","/rooms/10300238?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Jordan Big 2BR Near Airport busstop","Hong-Kong","5/1/17","5/2/17",894,NA,"894",NA
"24","/rooms/11024580?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hung Hom - Standard Suite 3BR for 2-5 - 32A","Hong-Kong","5/1/17","5/2/17",700,1127,"700","1127"
"25","/rooms/7375177?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Budget 3 room apt for 6 pax, 2A","Hong-Kong","5/1/17","5/2/17",902,1011,NA,NA
"26","/rooms/18048058?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Lux High Flr,Incredible HB view, mins from TST MTR","Hong-Kong","5/1/17","5/2/17",1104,1633,"1104",NA
"27","/rooms/16456107?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","HKJL-1 new! Mong kok,Comfy room with private bath","Hong-Kong","5/1/17","5/2/17",389,544,"389","544"
"28","/rooms/13523745?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Great en-suite bedroom in the heart of Hong Kong","Hong-Kong","5/1/17","5/2/17",575,762,"575","762"
"29","/rooms/10397724?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Great sunshine Apartment Near Metro","Hong-Kong","5/1/17","5/2/17",264,350,"264","350"
"30","/rooms/18147387?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Nice Double bedroom","Hong-Kong","5/1/17","5/2/17",303,342,"303","342"
"31","/rooms/10234023?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Mong Kok MTR+Tidy Quad room&My","Hong-Kong","5/1/17","5/2/17",443,497,"443","497"
"32","/rooms/14735777?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Stanley Oriental Hotel","Hong-Kong","5/1/17","5/2/17",2557,2868,"2557","2868"
"33","/rooms/13150055?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Jordan Room for 3, next to MTR, E3","Hong-Kong","5/1/17","5/2/17",451,505,NA,"505"
"34","/rooms/16475008?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","HKJL-4 New! Mong kok,Comfy room,private bath,AC","Hong-Kong","5/1/17","5/2/17",420,575,"420","575"
"35","/rooms/17721140?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","近旺角地铁站E1出口 溫馨双床 独立洗手间 WIFI 电视 空调","Hong-Kong","5/1/17","5/2/17",358,405,"358",NA
"36","/rooms/17262709?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","0_Chic Home - 2BR at Tsim Sha Tsui 尖沙咀- 2睡房溫馨現代簡約房","Hong-Kong","5/1/17","5/2/17",979,1096,"979","1096"
"37","/rooms/8382072?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","四月春季優惠大特價* 香港銅鑼灣1房民宿Private Room近地鐵站2分鐘","Hong-Kong","5/1/17","5/2/17",326,481,"326","481"
"38","/rooms/10950729?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Mixed Dorm Room (男女混合宿舍) (3)","Hong-Kong","5/1/17","5/2/17",225,256,"225","256"
"39","/rooms/15417014?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Bright & Modern Apartment, 2mins to MTR & Bus Stop","Hong-Kong","5/1/17","5/2/17",894,1345,"894","1345"
